versao  otimizacao  N     tempo_sob_valgrind  D1_misses   D1_miss_rate  LLd_misses  LLd_miss_rate  I_refs        D_refs
padrao  O0          512   13.3594             134909246   6.7%          99791       0.0%           3780328356    2025391085
bloco   O0          512   16.7896             19564340    0.8%          99791       0.0%           4892683649    2586355179
padrao  O3          512   3.3403              134913852   66.6%         99787       0.0%           747065923     202435172
bloco   O3          512   1.6617              19568432    10.9%         99788       0.1%           440114387     179540646
padrao  O0          1024  111.2916            1077683006  6.7%          394703      0.0%           30153077419   16154437717
bloco   O0          1024  130.2145            156108580   0.8%          394703      0.0%           39075003998   20655793448
padrao  O3          1024  29.6532             1077702460  66.7%         394699      0.0%           5940422095    1614870471
bloco   O3          1024  12.7158             156141347   10.9%         394703      0.0%           3501615498    1433821922
padrao  O0          1536  402.1488            3635403582  6.7%          1519850     0.0%           101667023021  54466792533
bloco   O0          1536  433.5499            526419732   0.8%          1523950     0.0%           131804484667  69674208643
padrao  O3          1536  104.2898            3635441980  66.8%         1519851     0.0%           20009449131   5445321768
bloco   O3          1536  43.1448             526530323   10.9%         1523952     0.0%           11797364344   4836647076
